date,fx,ffr,cpi,bi
2018-04-02,13750,1.75,101.09362874410799,4.25
2018-04-03,13765,1.75,101.09362874410799,4.25
2018-04-04,13760,1.75,101.09362874410799,4.25
2018-04-05,13767,1.75,101.09362874410799,4.25
2018-04-06,13771,1.75,101.09362874410799,4.25
2018-04-09,13771,1.75,101.09362874410799,4.25
2018-04-10,13759,1.75,101.09362874410799,4.25
2018-04-11,13747,1.75,101.09362874410799,4.25
2018-04-12,13763,1.75,101.09362874410799,4.25
2018-04-13,13753,1.75,101.09362874410799,4.25
2018-04-16,13766,1.75,101.09362874410799,4.25
2018-04-17,13770,1.75,101.09362874410799,4.25
2018-04-18,13770,1.75,101.09362874410799,4.25
2018-04-19,13778,1.75,101.09362874410799,4.25
2018-04-20,13804,1.75,101.09362874410799,4.25
2018-04-23,13894,1.75,101.09362874410799,4.25
2018-04-24,13900,1.75,101.09362874410799,4.25
2018-04-25,13888,1.75,101.09362874410799,4.25
2018-04-26,13930,1.75,101.09362874410799,4.25
2018-04-27,13879,1.75,101.09362874410799,4.25
2018-04-30,13877,1.75,101.09362874410799,4.25
2018-05-02,13936,1.75,101.30592536447061,4.25
2018-05-03,13965,1.75,101.30592536447061,4.25
2018-05-04,13943,1.75,101.30592536447061,4.25
2018-05-07,13956,1.75,101.30592536447061,4.25
2018-05-08,14036,1.75,101.30592536447061,4.25
2018-05-09,14074,1.75,101.30592536447061,4.25
2018-05-11,14048,1.75,101.30592536447061,4.25
2018-05-14,13976,1.75,101.30592536447061,4.25
2018-05-15,14020,1.75,101.30592536447061,4.25
2018-05-16,14094,1.75,101.30592536447061,4.25
2018-05-17,14074,1.75,101.30592536447061,4.5
2018-05-18,14107,1.75,101.30592536447061,4.5
2018-05-21,14176,1.75,101.30592536447061,4.5
2018-05-22,14178,1.75,101.30592536447061,4.5
2018-05-23,14192,1.75,101.30592536447061,4.5
2018-05-24,14205,1.75,101.30592536447061,4.5
2018-05-25,14166,1.75,101.30592536447061,4.5
2018-05-28,14065,1.75,101.30592536447061,4.5
2018-05-30,14032,1.75,101.30592536447061,4.75
2018-05-31,13951,1.75,101.30592536447061,4.75
2018-06-04,13872,1.75,101.90363032412097,4.75
2018-06-05,13887,1.75,101.90363032412097,4.75
2018-06-06,13875,1.75,101.90363032412097,4.75
2018-06-07,13868,1.75,101.90363032412097,4.75
2018-06-08,13902,1.75,101.90363032412097,4.75
2018-06-21,14090,2.0,101.90363032412097,4.75
2018-06-22,14102,2.0,101.90363032412097,4.75
2018-06-25,14105,2.0,101.90363032412097,4.75
2018-06-26,14163,2.0,101.90363032412097,4.75
2018-06-28,14271,2.0,101.90363032412097,4.75
2018-06-29,14404,2.0,101.90363032412097,5.25
2018-07-02,14331,2.0,102.1889604890285,5.25
2018-07-03,14418,2.0,102.1889604890285,5.25
2018-07-04,14343,2.0,102.1889604890285,5.25
2018-07-05,14387,2.0,102.1889604890285,5.25
2018-07-06,14409,2.0,102.1889604890285,5.25
2018-07-09,14332,2.0,102.1889604890285,5.25
2018-07-10,14326,2.0,102.1889604890285,5.25
2018-07-11,14391,2.0,102.1889604890285,5.25
2018-07-12,14435,2.0,102.1889604890285,5.25
2018-07-13,14358,2.0,102.1889604890285,5.25
2018-07-16,14396,2.0,102.1889604890285,5.25
2018-07-17,14391,2.0,102.1889604890285,5.25
2018-07-18,14406,2.0,102.1889604890285,5.25
2018-07-19,14418,2.0,102.1889604890285,5.25
2018-07-20,14520,2.0,102.1889604890285,5.25
2018-07-23,14454,2.0,102.1889604890285,5.25
2018-07-24,14541,2.0,102.1889604890285,5.25
2018-07-25,14515,2.0,102.1889604890285,5.25
2018-07-26,14443,2.0,102.1889604890285,5.25
2018-07-27,14483,2.0,102.1889604890285,5.25
2018-07-30,14409,2.0,102.1889604890285,5.25
2018-07-31,14413,2.0,102.1889604890285,5.25
2018-08-01,14442,2.0,102.13786600878399,5.25
2018-08-02,14446,2.0,102.13786600878399,5.25
2018-08-03,14503,2.0,102.13786600878399,5.25
2018-08-06,14481,2.0,102.13786600878399,5.25
2018-08-07,14485,2.0,102.13786600878399,5.25
2018-08-08,14439,2.0,102.13786600878399,5.25
2018-08-09,14422,2.0,102.13786600878399,5.25
2018-08-10,14437,2.0,102.13786600878399,5.25
2018-08-13,14583,2.0,102.13786600878399,5.25
2018-08-14,14625,2.0,102.13786600878399,5.25
2018-08-15,14621,2.0,102.13786600878399,5.5
2018-08-16,14619,2.0,102.13786600878399,5.5
2018-08-20,14578,2.0,102.13786600878399,5.5
2018-08-21,14568,2.0,102.13786600878399,5.5
2018-08-23,14620,2.0,102.13786600878399,5.5
2018-08-24,14655,2.0,102.13786600878399,5.5
2018-08-27,14610,2.0,102.13786600878399,5.5
2018-08-28,14614,2.0,102.13786600878399,5.5
2018-08-29,14643,2.0,102.13786600878399,5.5
2018-08-30,14655,2.0,102.13786600878399,5.5
2018-08-31,14711,2.0,102.13786600878399,5.5
2018-09-03,14767,2.0,101.95401784996818,5.5
2018-09-04,14840,2.0,101.95401784996818,5.5
2018-09-05,14927,2.0,101.95401784996818,5.5
2018-09-06,14891,2.0,101.95401784996818,5.5
2018-09-07,14884,2.0,101.95401784996818,5.5
2018-09-10,14835,2.0,101.95401784996818,5.5
2018-09-12,14863,2.0,101.95401784996818,5.5
2018-09-13,14794,2.0,101.95401784996818,5.5
2018-09-14,14835,2.0,101.95401784996818,5.5
2018-09-17,14859,2.0,101.95401784996818,5.5
2018-09-18,14908,2.0,101.95401784996818,5.5
2018-09-19,14896,2.0,101.95401784996818,5.5
2018-09-20,14839,2.0,101.95401784996818,5.5
2018-09-21,14824,2.0,101.95401784996818,5.5
2018-09-24,14865,2.0,101.95401784996818,5.5
2018-09-25,14893,2.0,101.95401784996818,5.5
2018-09-26,14938,2.0,101.95401784996818,5.5
2018-09-27,14919,2.25,101.95401784996818,5.75
2018-09-28,14929,2.25,101.95401784996818,5.75
2018-10-01,14905,2.25,102.23948909994809,5.75
2018-10-02,14988,2.25,102.23948909994809,5.75
2018-10-03,15088,2.25,102.23948909994809,5.75
2018-10-04,15133,2.25,102.23948909994809,5.75
2018-10-05,15182,2.25,102.23948909994809,5.75
2018-10-08,15193,2.25,102.23948909994809,5.75
2018-10-09,15233,2.25,102.23948909994809,5.75
2018-10-10,15215,2.25,102.23948909994809,5.75
2018-10-11,15253,2.25,102.23948909994809,5.75
2018-10-12,15194,2.25,102.23948909994809,5.75
2018-10-15,15246,2.25,102.23948909994809,5.75
2018-10-16,15206,2.25,102.23948909994809,5.75
2018-10-17,15178,2.25,102.23948909994809,5.75
2018-10-18,15187,2.25,102.23948909994809,5.75
2018-10-19,15221,2.25,102.23948909994809,5.75
2018-10-22,15192,2.25,102.23948909994809,5.75
2018-10-23,15208,2.25,102.23948909994809,5.75
2018-10-24,15193,2.25,102.23948909994809,5.75
2018-10-25,15210,2.25,102.23948909994809,5.75
2018-10-26,15207,2.25,102.23948909994809,5.75
2018-10-29,15218,2.25,102.23948909994809,5.75
2018-10-30,15237,2.25,102.23948909994809,5.75
2018-10-31,15227,2.25,102.23948909994809,5.75
2018-11-01,15195,2.25,102.51553572051795,5.75
2018-11-02,15089,2.25,102.51553572051795,5.75
2018-11-05,14972,2.25,102.51553572051795,5.75
2018-11-06,14891,2.25,102.51553572051795,5.75
2018-11-07,14764,2.25,102.51553572051795,5.75
2018-11-08,14651,2.25,102.51553572051795,5.75
2018-11-09,14632,2.25,102.51553572051795,5.75
2018-11-12,14747,2.25,102.51553572051795,5.75
2018-11-13,14895,2.25,102.51553572051795,5.75
2018-11-14,14755,2.25,102.51553572051795,5.75
2018-11-15,14764,2.25,102.51553572051795,6.0
2018-11-16,14594,2.25,102.51553572051795,6.0
2018-11-19,14586,2.25,102.51553572051795,6.0
2018-11-21,14618,2.25,102.51553572051795,6.0
2018-11-22,14592,2.25,102.51553572051795,6.0
2018-11-23,14552,2.25,102.51553572051795,6.0
2018-11-26,14551,2.25,102.51553572051795,6.0
2018-11-27,14504,2.25,102.51553572051795,6.0
2018-11-28,14535,2.25,102.51553572051795,6.0
2018-11-29,14408,2.25,102.51553572051795,6.0
2018-11-30,14339,2.25,102.51553572051795,6.0
2018-12-03,14252,2.25,103.15113204198516,6.0
2018-12-04,14293,2.25,103.15113204198516,6.0
2018-12-05,14383,2.25,103.15113204198516,6.0
2018-12-06,14507,2.25,103.15113204198516,6.0
2018-12-07,14539,2.25,103.15113204198516,6.0
2018-12-10,14517,2.25,103.15113204198516,6.0
2018-12-11,14613,2.25,103.15113204198516,6.0
2018-12-12,14577,2.25,103.15113204198516,6.0
2018-12-13,14536,2.25,103.15113204198516,6.0
2018-12-14,14538,2.25,103.15113204198516,6.0
2018-12-17,14617,2.25,103.15113204198516,6.0
2018-12-18,14523,2.25,103.15113204198516,6.0
2018-12-19,14380,2.25,103.15113204198516,6.0
2018-12-20,14499,2.5,103.15113204198516,6.0
2018-12-21,14480,2.5,103.15113204198516,6.0
2018-12-26,14602,2.5,103.15113204198516,6.0
2018-12-27,14563,2.5,103.15113204198516,6.0
2018-12-28,14542,2.5,103.15113204198516,6.0
2018-12-31,14481,2.5,103.15113204198516,6.0
2019-01-02,14465,2.5,103.48121566451954,6.0
2019-01-03,14474,2.5,103.48121566451954,6.0
2019-01-04,14350,2.5,103.48121566451954,6.0
2019-01-07,14105,2.5,103.48121566451954,6.0
2019-01-08,14031,2.5,103.48121566451954,6.0
2019-01-09,14120,2.5,103.48121566451954,6.0
2019-01-10,14093,2.5,103.48121566451954,6.0
2019-01-11,14076,2.5,103.48121566451954,6.0
2019-01-14,14052,2.5,103.48121566451954,6.0
2019-01-15,14084,2.5,103.48121566451954,6.0
2019-01-16,14154,2.5,103.48121566451954,6.0
2019-01-17,14158,2.5,103.48121566451954,6.0
2019-01-18,14182,2.5,103.48121566451954,6.0
2019-01-21,14212,2.5,103.48121566451954,6.0
2019-01-22,14221,2.5,103.48121566451954,6.0
2019-01-23,14188,2.5,103.48121566451954,6.0
2019-01-24,14141,2.5,103.48121566451954,6.0
2019-01-25,14163,2.5,103.48121566451954,6.0
2019-01-28,14038,2.5,103.48121566451954,6.0
2019-01-29,14098,2.5,103.48121566451954,6.0
2019-01-30,14112,2.5,103.48121566451954,6.0
2019-01-31,14072,2.5,103.48121566451954,6.0
2019-02-01,13978,2.5,103.39843069198791,6.0
2019-02-04,13976,2.5,103.39843069198791,6.0
2019-02-06,13947,2.5,103.39843069198791,6.0
2019-02-07,13978,2.5,103.39843069198791,6.0
2019-02-08,13992,2.5,103.39843069198791,6.0
2019-02-11,13995,2.5,103.39843069198791,6.0
2019-02-12,14088,2.5,103.39843069198791,6.0
2019-02-13,14027,2.5,103.39843069198791,6.0
2019-02-14,14093,2.5,103.39843069198791,6.0
2019-02-15,14116,2.5,103.39843069198791,6.0
2019-02-18,14106,2.5,103.39843069198791,6.0
2019-02-19,14119,2.5,103.39843069198791,6.0
2019-02-20,14055,2.5,103.39843069198791,6.0
2019-02-21,14057,2.5,103.39843069198791,6.0
